Total configs generated: 642978
Total configs: 642978
Already evaluated: 168238
New configs to evaluate: 592503
------------------------------------------------------------
[25/592503 |   0.00%] Best: 145.936089 | Elapsed:   0.2 min | ETA: 5892.8 min | Rate:  1.68 cfg/s
[50/592503 |   0.01%] Best: 144.252760 | Elapsed:   0.2 min | ETA: 2953.6 min | Rate:  3.34 cfg/s
[75/592503 |   0.01%] Best: 144.252760 | Elapsed:   0.2 min | ETA: 1972.8 min | Rate:  5.00 cfg/s
[100/592503 |   0.02%] Best: 144.252760 | Elapsed:   0.3 min | ETA: 1481.6 min | Rate:  6.66 cfg/s
[125/592503 |   0.02%] Best: 144.252760 | Elapsed:   0.3 min | ETA: 1186.8 min | Rate:  8.32 cfg/s
[150/592503 |   0.03%] Best: 144.252760 | Elapsed:   0.3 min | ETA: 995.9 min | Rate:  9.91 cfg/s
[175/592503 |   0.03%] Best: 144.252760 | Elapsed:   0.3 min | ETA: 890.9 min | Rate: 11.08 cfg/s
[200/592503 |   0.03%] Best: 144.252760 | Elapsed:   0.4 min | ETA: 1037.2 min | Rate:  9.52 cfg/s
[225/592503 |   0.04%] Best: 144.252760 | Elapsed:   0.4 min | ETA: 983.9 min | Rate: 10.03 cfg/s
[250/592503 |   0.04%] Best: 144.252760 | Elapsed:   0.5 min | ETA: 1084.0 min | Rate:  9.11 cfg/s
[275/592503 |   0.05%] Best: 144.252760 | Elapsed:   0.5 min | ETA: 1043.3 min | Rate:  9.46 cfg/s
[300/592503 |   0.05%] Best: 144.252760 | Elapsed:   0.5 min | ETA: 1077.0 min | Rate:  9.16 cfg/s
[325/592503 |   0.05%] Best: 144.252760 | Elapsed:   0.6 min | ETA: 1062.9 min | Rate:  9.29 cfg/s
[350/592503 |   0.06%] Best: 144.252760 | Elapsed:   0.6 min | ETA: 1095.5 min | Rate:  9.01 cfg/s
[375/592503 |   0.06%] Best: 144.252760 | Elapsed:   0.7 min | ETA: 1106.1 min | Rate:  8.92 cfg/s
[400/592503 |   0.07%] Best: 144.252760 | Elapsed:   0.8 min | ETA: 1112.1 min | Rate:  8.87 cfg/s
[425/592503 |   0.07%] Best: 144.252760 | Elapsed:   0.8 min | ETA: 1145.5 min | Rate:  8.61 cfg/s
[450/592503 |   0.08%] Best: 144.252760 | Elapsed:   0.9 min | ETA: 1122.0 min | Rate:  8.79 cfg/s
[475/592503 |   0.08%] Best: 144.252760 | Elapsed:   0.9 min | ETA: 1146.6 min | Rate:  8.61 cfg/s
[500/592503 |   0.08%] Best: 144.252760 | Elapsed:   0.9 min | ETA: 1123.8 min | Rate:  8.78 cfg/s
[525/592503 |   0.09%] Best: 144.252760 | Elapsed:   1.0 min | ETA: 1170.0 min | Rate:  8.43 cfg/s
[550/592503 |   0.09%] Best: 144.252760 | Elapsed:   1.1 min | ETA: 1130.5 min | Rate:  8.73 cfg/s
[575/592503 |   0.10%] Best: 144.252760 | Elapsed:   1.1 min | ETA: 1165.7 min | Rate:  8.46 cfg/s
[600/592503 |   0.10%] Best: 144.252760 | Elapsed:   1.2 min | ETA: 1146.4 min | Rate:  8.61 cfg/s
[625/592503 |   0.11%] Best: 144.252760 | Elapsed:   1.2 min | ETA: 1152.8 min | Rate:  8.56 cfg/s
[650/592503 |   0.11%] Best: 144.252760 | Elapsed:   1.3 min | ETA: 1167.3 min | Rate:  8.45 cfg/s
[675/592503 |   0.11%] Best: 144.252760 | Elapsed:   1.3 min | ETA: 1162.3 min | Rate:  8.49 cfg/s
[700/592503 |   0.12%] Best: 144.252760 | Elapsed:   1.4 min | ETA: 1178.3 min | Rate:  8.37 cfg/s
[725/592503 |   0.12%] Best: 144.252760 | Elapsed:   1.4 min | ETA: 1160.9 min | Rate:  8.50 cfg/s
[750/592503 |   0.13%] Best: 144.252760 | Elapsed:   1.5 min | ETA: 1180.9 min | Rate:  8.35 cfg/s
[775/592503 |   0.13%] Best: 144.252760 | Elapsed:   1.5 min | ETA: 1176.7 min | Rate:  8.38 cfg/s
[800/592503 |   0.14%] Best: 144.252760 | Elapsed:   1.6 min | ETA: 1187.3 min | Rate:  8.31 cfg/s
[825/592503 |   0.14%] Best: 144.252760 | Elapsed:   1.6 min | ETA: 1173.5 min | Rate:  8.40 cfg/s
[850/592503 |   0.14%] Best: 144.252760 | Elapsed:   1.7 min | ETA: 1193.7 min | Rate:  8.26 cfg/s
[875/592503 |   0.15%] Best: 144.252760 | Elapsed:   1.7 min | ETA: 1176.3 min | Rate:  8.38 cfg/s
[900/592503 |   0.15%] Best: 144.252760 | Elapsed:   1.8 min | ETA: 1201.0 min | Rate:  8.21 cfg/s
[925/592503 |   0.16%] Best: 144.252760 | Elapsed:   1.8 min | ETA: 1181.4 min | Rate:  8.35 cfg/s
[950/592503 |   0.16%] Best: 144.252760 | Elapsed:   1.9 min | ETA: 1201.1 min | Rate:  8.21 cfg/s
[975/592503 |   0.16%] Best: 144.252760 | Elapsed:   2.0 min | ETA: 1190.3 min | Rate:  8.28 cfg/s
[1000/592503 |   0.17%] Best: 144.252760 | Elapsed:   2.0 min | ETA: 1192.7 min | Rate:  8.27 cfg/s
[1025/592503 |   0.17%] Best: 144.252760 | Elapsed:   2.1 min | ETA: 1196.4 min | Rate:  8.24 cfg/s
[1050/592503 |   0.18%] Best: 144.252760 | Elapsed:   2.1 min | ETA: 1179.5 min | Rate:  8.36 cfg/s
[1075/592503 |   0.18%] Best: 144.252760 | Elapsed:   2.1 min | ETA: 1159.1 min | Rate:  8.50 cfg/s
[1100/592503 |   0.19%] Best: 144.252760 | Elapsed:   2.1 min | ETA: 1138.4 min | Rate:  8.66 cfg/s
[1125/592503 |   0.19%] Best: 144.252760 | Elapsed:   2.1 min | ETA: 1117.7 min | Rate:  8.82 cfg/s
[1150/592503 |   0.19%] Best: 144.252760 | Elapsed:   2.1 min | ETA: 1097.7 min | Rate:  8.98 cfg/s
[1175/592503 |   0.20%] Best: 144.252760 | Elapsed:   2.1 min | ETA: 1078.5 min | Rate:  9.14 cfg/s
[1200/592503 |   0.20%] Best: 144.252760 | Elapsed:   2.2 min | ETA: 1060.4 min | Rate:  9.29 cfg/s
[1225/592503 |   0.21%] Best: 144.252760 | Elapsed:   2.2 min | ETA: 1042.2 min | Rate:  9.46 cfg/s
[1250/592503 |   0.21%] Best: 144.252760 | Elapsed:   2.2 min | ETA: 1025.6 min | Rate:  9.61 cfg/s
[1275/592503 |   0.22%] Best: 144.252760 | Elapsed:   2.2 min | ETA: 1009.4 min | Rate:  9.76 cfg/s
[1300/592503 |   0.22%] Best: 144.252760 | Elapsed:   2.2 min | ETA: 993.8 min | Rate:  9.91 cfg/s
[1325/592503 |   0.22%] Best: 144.252760 | Elapsed:   2.2 min | ETA: 978.9 min | Rate: 10.07 cfg/s
[1350/592503 |   0.23%] Best: 144.252760 | Elapsed:   2.2 min | ETA: 964.8 min | Rate: 10.21 cfg/s
[1375/592503 |   0.23%] Best: 144.252760 | Elapsed:   2.2 min | ETA: 951.7 min | Rate: 10.35 cfg/s
[1400/592503 |   0.24%] Best: 144.252760 | Elapsed:   2.2 min | ETA: 938.7 min | Rate: 10.49 cfg/s
[1425/592503 |   0.24%] Best: 144.252760 | Elapsed:   2.2 min | ETA: 927.0 min | Rate: 10.63 cfg/s
[1450/592503 |   0.24%] Best: 144.252760 | Elapsed:   2.2 min | ETA: 915.0 min | Rate: 10.77 cfg/s
[1475/592503 |   0.25%] Best: 144.252760 | Elapsed:   2.3 min | ETA: 903.4 min | Rate: 10.90 cfg/s
[1500/592503 |   0.25%] Best: 144.252760 | Elapsed:   2.3 min | ETA: 891.8 min | Rate: 11.04 cfg/s
[1525/592503 |   0.26%] Best: 144.252760 | Elapsed:   2.3 min | ETA: 882.7 min | Rate: 11.16 cfg/s
[1550/592503 |   0.26%] Best: 144.252760 | Elapsed:   2.5 min | ETA: 934.7 min | Rate: 10.54 cfg/s
[1575/592503 |   0.27%] Best: 144.252760 | Elapsed:   2.5 min | ETA: 934.1 min | Rate: 10.54 cfg/s
[1600/592503 |   0.27%] Best: 144.252760 | Elapsed:   2.7 min | ETA: 980.1 min | Rate: 10.05 cfg/s
[1625/592503 |   0.27%] Best: 144.252760 | Elapsed:   2.7 min | ETA: 976.4 min | Rate: 10.09 cfg/s
[1650/592503 |   0.28%] Best: 144.252760 | Elapsed:   2.8 min | ETA: 1011.8 min | Rate:  9.73 cfg/s
[1675/592503 |   0.28%] Best: 144.252760 | Elapsed:   2.9 min | ETA: 1016.2 min | Rate:  9.69 cfg/s
[1700/592503 |   0.29%] Best: 144.252760 | Elapsed:   3.0 min | ETA: 1049.8 min | Rate:  9.38 cfg/s
